"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Fahrzeug","Datum","ZeitBeginn","Dauer","Dauer[other]","Reiseroute"
"100","2022-05-05 07:51:01","1","de","1564230438","2022-05-05 07:50:36","2022-05-05 07:51:01","BMW","2022-05-05 00:00:00","1970-01-01 08:00:00","0.5","","Blumenau - Germering"
"102","2022-05-05 13:47:34","1","de","1272694263","2022-05-05 13:45:47","2022-05-05 13:47:34","Porsc","2022-05-05 00:00:00","1970-01-01 14:00:00","2","","B311 Richtung A7 - Richtung Füssen -A96 Richtung Lindau - A96 Richtung München - B465 Richtung Biberach"
"103","2022-05-05 18:40:04","1","de","2142066961","2022-05-05 18:34:46","2022-05-05 18:40:04","Porsc","2022-05-05 00:00:00","1970-01-01 18:45:00","2","","B30 Richtung Friedrichshafen- B30 Richtung Biberach"
"104","2022-05-05 18:37:59","1","de","986644890","2022-05-05 18:37:35","2022-05-05 18:37:59","BMW","2022-05-05 00:00:00","1970-01-01 18:30:00","0.5","","Gilching - Blumenau"
"105","2022-05-05 20:18:10","1","de","984976053","2022-05-05 19:29:10","2022-05-05 20:18:10","BMW","2022-05-05 00:00:00","1970-01-01 20:15:00","1","","Fürstenried - Starnber - Fürstenried"
"106","2022-05-06 08:12:03","1","de","1536850064","2022-05-06 08:11:34","2022-05-06 08:12:03","BMW","2022-05-06 00:00:00","1970-01-01 08:15:00","1","","Blumenau - Allach - Garching Uni"
"107","2022-05-06 08:27:50","1","de","876820126","2022-05-06 08:26:43","2022-05-06 08:27:50","Porsc","2022-05-06 00:00:00","1970-01-01 08:30:00","2.5","","B30 Richtung Ulm, A 7 Richtung Ulm, A 8 Richtung München- A 9 Garching"
"110","2022-05-09 10:44:01","1","de","106165801","2022-05-09 10:42:41","2022-05-09 10:44:01","VW","2022-05-09 00:00:00","1970-01-01 10:45:00","0.5","","A9 Garching -oberschleissheim München Fasanerie "
"111","2022-05-09 11:42:22","1","de","1679902361","2022-05-09 11:40:39","2022-05-09 11:42:22","VW","2022-05-09 00:00:00","1970-01-01 11:45:00","1,5","","Heimatort zum Garching Autobahn
Testblock 1 Autobahn heimatort"
"112","2022-05-09 14:15:37","1","de","51997446","2022-05-09 14:14:48","2022-05-09 14:15:37","BMW","2022-05-09 00:00:00","1970-01-01 14:15:00","0.5","","Eching"
"114","2022-05-10 10:45:16","1","de","2121042043","2022-05-10 10:43:32","2022-05-10 10:45:16","Ford","2022-05-10 00:00:00","1970-01-01 08:45:00","1","","Garching Richtung Flughafen, Landshut"
"115","2022-05-10 14:11:09","1","de","1869178516","2022-05-10 14:10:33","2022-05-10 14:11:09","BMW","2022-05-10 00:00:00","1970-01-01 14:15:00","2.5","","A9 bis greiz"
"117","2022-05-11 10:04:45","1","de","357260235","2022-05-11 10:03:55","2022-05-11 10:04:45","VW","2022-05-11 00:00:00","1970-01-01 10:00:00","1,5","","Zu Hause Hab Teublitz"
